customer_id,signup_date,last_login_date,tenure_months,contract,plan,region,monthly_charges,support_tickets,churn,data_source,account_note
CUST-004209,2022-11-19,2026-06-01,43,Month-to-month,Standard,North,104.37,1,No,billing_system_v2,note-3052
CUST-004252,2020-08-31,2026-05-22,70,One year,Standard,South,,1,No,billing_system_v2,note-3822
CUST-000436,2023-02-17,2026-04-20,40,Two year,Basic,South,88.81,2,Yes,billing_system_v2,note-1643
CUST-000450,2020-09-30,2026-04-17,69,One year,Basic,South,94.47,2,No,billing_system_v2,note-3503
CUST-002247,2025-06-06,2026-04-28,12,Month-to-month,Premium,South,51.42,4,Yes,billing_system_v2,note-2082
CUST-003417,2021-03-29,2026-05-06,63,Month-to-month,Standard,West,82.07,1,No,billing_system_v2,note-101
CUST-003178,2025-03-08,2026-05-28,15,Month-to-month,Basic,West,57.88,1,Yes,billing_system_v2,note-1959
CUST-000977,2023-01-18,2026-05-26,41,Two year,Basic,East,45.54,1,No,billing_system_v2,note-3932
CUST-001118,2022-02-22,2026-06-01,52,Month-to-month,Standard,West,104.53,1,No,billing_system_v2,note-2826
CUST-002253,2023-06-17,2026-04-16,36,Two year,Basic,East,70.2,0,No,billing_system_v2,note-623
CUST-000281,2023-07-17,2026-05-29,35,Month-to-month,Premium,North,65.76,0,Yes,billing_system_v2,note-4037
CUST-004490,2025-05-07,2026-05-14,13,Month-to-month,,North,51.85,0,Yes,billing_system_v2,note-4420
CUST-002442,2026-06-01,2026-05-19,0,Month-to-month,Premium,West,65.7,2,Yes,billing_system_v2,note-1488
CUST-000199,2020-09-30,2026-05-24,69,Two year,Premium,North,66.09,2,No,billing_system_v2,note-4261
CUST-000764,2024-05-12,2026-05-03,25,One year,Basic,East,71.03,2,No,billing_system_v2,note-3303
CUST-000367,2024-08-10,2026-05-27,22,One year,Standard,Central,56.66,2,Yes,billing_system_v2,note-2842
CUST-000466,2025-07-06,2026-05-28,11,One year,Premium,South,69.97,2,No,billing_system_v2,note-1184
CUST-003442,2023-10-15,2026-05-29,32,Two year,Premium,South,92.43,2,No,billing_system_v2,note-1011
CUST-001431,2025-05-07,2026-03-29,13,Month-to-month,Premium,Central,77.99,1,Yes,billing_system_v2,note-2603
CUST-000700,2023-05-18,2026-05-27,37,One year,Basic,North,90.89,3,No,billing_system_v2,note-2006
CUST-002294,2022-03-24,2026-05-27,51,Month-to-month,Basic,North,,1,No,billing_system_v2,note-4492
CUST-002958,2023-06-17,2026-05-09,36,Two year,Premium,South,75.91,1,No,billing_system_v2,note-2654
CUST-000684,2025-06-06,2026-04-27,12,One year,Basic,East,86.71,1,No,billing_system_v2,note-425
CUST-001337,2024-09-09,2026-05-20,21,One year,Standard,North,103.79,1,Yes,billing_system_v2,note-3429
CUST-003619,2025-12-03,2026-05-11,6,Month-to-month,Basic,Central,78.84,1,Yes,billing_system_v2,note-2833
CUST-003443,2025-03-08,2026-05-31,15,One year,Standard,East,64.13,1,No,billing_system_v2,note-599
CUST-003365,2022-01-23,2026-05-25,53,Month-to-month,Standard,West,81.66,1,No,billing_system_v2,note-3683
CUST-002350,2023-04-18,2026-05-27,38,Two year,Standard,North,78.76,2,No,billing_system_v2,note-4325
CUST-003797,2026-02-01,2026-05-06,4,Two year,Basic,West,100.66,6,Yes,billing_system_v2,note-1748
CUST-004489,2024-03-13,2026-03-28,27,Month-to-month,Standard,South,59.06,2,Yes,billing_system_v2,note-2395
CUST-000668,2020-12-29,2026-05-22,66,Month-to-month,Premium,West,77.18,0,No,billing_system_v2,note-1162
CUST-001025,2026-02-01,2026-05-29,4,Two year,Premium,West,62.42,0,No,billing_system_v2,note-2560
CUST-003404,2024-02-12,2026-05-21,28,Month-to-month,Premium,East,95.23,4,Yes,billing_system_v2,note-517
CUST-003475,2025-03-08,2026-05-29,15,Month-to-month,Premium,Central,112.68,1,No,billing_system_v2,note-4054
CUST-003434,2025-02-06,2026-05-23,16,Two year,Basic,West,98.3,2,Yes,billing_system_v2,note-478
CUST-002509,2025-10-04,2026-06-01,8,One year,Standard,,121.63,0,No,billing_system_v2,note-3723
CUST-003905,2021-12-24,2026-05-15,54,Month-to-month,Standard,North,49.58,2,No,billing_system_v2,note-3013
CUST-000924,2025-01-07,2026-04-15,17,Two year,Standard,West,63.62,2,Yes,billing_system_v2,note-4200
CUST-001212,2023-09-15,2026-05-18,33,Month-to-month,Basic,West,47.33,0,No,billing_system_v2,note-1785
CUST-003505,2021-03-29,2026-05-11,63,One year,Premium,South,87.38,1,No,billing_system_v2,note-3378
CUST-000666,2023-06-17,2026-05-21,36,One year,Premium,South,110.4,1,No,billing_system_v2,note-761
CUST-004318,2021-05-28,2026-04-23,61,Two year,Basic,North,61.15,0,No,billing_system_v2,note-2061
CUST-000230,2023-09-15,2026-05-18,33,Two year,Basic,West,109.14,0,Yes,billing_system_v2,note-521
CUST-001002,2023-02-17,2026-05-31,40,Month-to-month,Standard,North,56.54,3,Yes,billing_system_v2,note-2991
CUST-002255,2022-05-23,2026-05-21,49,Month-to-month,Standard,South,57.75,1,No,billing_system_v2,note-869
CUST-002386,2020-10-30,2026-05-30,68,Month-to-month,Basic,West,42.81,0,No,billing_system_v2,note-935
CUST-002544,2021-09-25,2026-05-27,57,Month-to-month,Standard,Central,30.99,2,No,billing_system_v2,note-3704
CUST-002964,2022-02-22,2026-05-29,52,Two year,Standard,North,89.43,0,No,billing_system_v2,note-4113
CUST-000606,2024-07-11,2026-05-21,23,Two year,Premium,West,47.41,0,No,billing_system_v2,note-4431
CUST-004208,2025-02-06,2026-05-30,16,One year,Premium,East,80.58,1,Yes,billing_system_v2,note-1866
CUST-000724,2021-10-25,2026-05-30,56,One year,Basic,West,96.61,3,No,billing_system_v2,note-2067
CUST-001977,2024-06-11,2026-05-04,24,Month-to-month,Premium,South,52.61,1,No,billing_system_v2,note-3214
CUST-000229,2025-06-06,2026-05-14,12,Two year,Standard,Central,79.14,1,Yes,billing_system_v2,note-3334
CUST-002391,2025-05-07,2026-03-13,13,Month-to-month,Standard,South,44.55,2,Yes,billing_system_v2,note-96
CUST-001462,2026-03-03,2026-04-30,3,Month-to-month,Basic,North,43.98,3,Yes,billing_system_v2,note-1501
CUST-004701,2026-02-01,2026-04-22,4,Month-to-month,Standard,West,84.16,3,Yes,billing_system_v2,note-2057
CUST-001639,2024-11-08,2026-05-11,19,One year,Standard,South,69.51,0,No,billing_system_v2,note-4108
CUST-003914,2021-10-25,2026-04-04,56,Month-to-month,Basic,East,96.89,2,No,billing_system_v2,note-403
CUST-000953,2023-12-14,2026-05-31,30,One year,Basic,North,57.64,1,No,billing_system_v2,note-1465
